delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
-0.070126 13.769167  1.325000 -4654.761719 -611.702881 -1460.972900 -136.706406 -0.207108 -0.031124 -0.009635      -nan 
-0.076525 13.767506  1.350000 -4957.228027 -712.800903 -1728.865479 -173.658508 -0.231781 -0.031617 -0.010496      -nan 
-0.082607 13.765367  1.375000 -5228.243652 -820.551697 -2002.884033 -216.837341 -0.255938 -0.031441 -0.011300      -nan 
-0.088253 13.762848  1.400000 -5467.737793 -934.274109 -2278.620117 -266.350342 -0.279247 -0.030843 -0.012032      -nan 
-0.093373 13.760125  1.425000 -5664.502930 -1053.274902 -2557.880371 -322.216614 -0.301374 -0.029880 -0.012689      -nan 
-0.097888 13.757414  1.450000 -5824.738770 -1176.628418 -2829.537598 -384.484619 -0.321940 -0.028411 -0.013264      -nan 
-0.101713 13.754944  1.475000 -5951.225586 -1303.550537 -3080.791992 -452.951813 -0.340838 -0.026646 -0.013746      -nan 
-0.104772 13.752932  1.500000 -6044.742188 -1433.324707 -3324.661621 -527.118103 -0.357947 -0.024779 -0.014133      -nan 
-0.107007 13.751581  1.525000 -6100.062500 -1565.244629 -3557.509766 -606.787964 -0.373049 -0.022654 -0.014430      -nan 
-0.108363 13.751091  1.550000 -6113.572266 -1698.480469 -3754.165039 -691.688965 -0.386063 -0.020264 -0.014626      -nan 
-0.108800 13.751629  1.575000 -6083.236328 -1832.153198 -3936.658203 -780.954346 -0.396930 -0.017891 -0.014705      -nan 
-0.108304 13.753317  1.600000 -6009.136230 -1965.305542 -4105.464844 -874.228271 -0.405406 -0.015234 -0.014666      -nan 
-0.106883 13.756225  1.625000 -5892.591309 -2096.978271 -4256.398438 -971.171570 -0.411282 -0.012287 -0.014514      -nan 
-0.104541 13.760366  1.650000 -5735.807129 -2226.232422 -4373.066406 -1071.355103 -0.414464 -0.009118 -0.014248      -nan 
-0.101306 13.765719  1.675000 -5531.898926 -2352.174561 -4465.142090 -1173.983765 -0.414925 -0.005958 -0.013860      -nan 
-0.097235 13.772202  1.700000 -5279.377930 -2473.742188 -4536.610840 -1278.483154 -0.412474 -0.002609 -0.013352      -nan 
-0.092411 13.779676  1.725000 -4985.494629 -2589.849854 -4585.668945 -1384.359985 -0.406904  0.000999 -0.012728      -nan 
-0.086907 13.787928  1.750000 -4662.322754 -2699.563477 -4610.157715 -1491.082886 -0.398143  0.004765 -0.012009      -nan 
-0.080879 13.796728  1.775000 -4294.818359 -2802.202881 -4607.847168 -1598.093506 -0.386170  0.008535 -0.011215      -nan 
-0.074367 13.805830  1.800000 -3908.247559 -2896.804443 -4577.176270 -1704.740112 -0.370984  0.012445 -0.010362      -nan 
-0.067528 13.814956  1.825000 -3496.729492 -2982.928467 -4516.574219 -1810.372314 -0.352768  0.016202 -0.009485      -nan 
-0.060418 13.823879  1.850000 -3068.715332 -3060.046631 -4425.417480 -1914.277588 -0.331624  0.019852 -0.008600      -nan 
-0.053113 13.832367  1.875000 -2633.077148 -3127.795898 -4299.780762 -2015.750366 -0.307858  0.023296 -0.007739      -nan 
-0.045741 13.840219  1.900000 -2183.116699 -3186.005371 -4124.933105 -2114.023682 -0.281820  0.026388 -0.006906      -nan 
-0.038275 13.847267  1.925000 -1738.092041 -3234.385498 -3921.770996 -2207.956543 -0.253934  0.029012 -0.006114      -nan 
-0.030849 13.853397  1.950000 -1281.004150 -3273.021484 -3692.368164 -2296.945068 -0.224450  0.031226 -0.005377      -nan 
-0.023467 13.858543  1.975000 -832.585632 -3301.647949 -3423.510010 -2380.408447 -0.193707  0.033239 -0.004698      -nan 
-0.016129 13.862719  2.000000 -385.678925 -3320.463623 -3122.309570 -2457.466309 -0.162227  0.034659 -0.004072      -nan 
-0.008807 13.866018  2.025000 65.977203 -3329.515381 -2800.401367 -2527.388672 -0.130243  0.035652 -0.003489      -nan 
-0.001453 13.868570  2.050000 524.967712 -3328.706299 -2453.888184 -2589.713135 -0.097981  0.036433 -0.002931      -nan 
 0.006014 13.870494  2.075000 997.947998 -3317.899170 -2091.322998 -2643.866699 -0.065636  0.036981 -0.002370      -nan 
 0.013637 13.871879  2.100000 1499.460327 -3296.807373 -1716.295044 -2689.466064 -0.033166  0.037475 -0.001776      -nan 
 0.021372 13.872782  2.125000 2010.270386 -3264.819336 -1328.310913 -2726.201172 -0.000512  0.038118 -0.001121      -nan 
 0.029063 13.873226  2.150000 2529.317383 -3221.726562 -931.429749 -2753.773926  0.032258  0.038694 -0.000390      -nan 
 0.036764 13.873212  2.175000 3021.406982 -3167.349121 -527.096863 -2771.976074  0.065007  0.039243  0.000417      -nan 
 0.044360 13.872730  2.200000 3495.690674 -3102.239258 -112.058517 -2780.686035  0.097384  0.039400  0.001286      -nan 
 0.051987 13.871757  2.225000 3940.926758 -3026.778809 311.647430 -2779.689941  0.129132  0.039224  0.002220      -nan 
 0.059581 13.870253  2.250000 4370.381836 -2941.564941 743.767334 -2768.846191  0.159913  0.038618  0.003219      -nan 
 0.067221 13.868172  2.275000 4786.104980 -2846.916016 1171.816406 -2748.012939  0.189631  0.037728  0.004302      -nan 
 0.074920 13.865470  2.300000 5180.308594 -2743.117188 1591.826904 -2717.296875  0.218150  0.036734  0.005469      -nan 
 0.082674 13.862092  2.325000 5564.518555 -2630.630371 1986.225464 -2676.924805  0.245548  0.035603  0.006722      -nan 
 0.090465 13.857993  2.350000 5921.098145 -2509.671387 2354.474609 -2627.476074  0.271997  0.034682  0.008043      -nan 
 0.098297 13.853155  2.375000 6266.236328 -2380.841797 2695.487305 -2569.555664  0.297541  0.033787  0.009401      -nan 
 0.106137 13.847558  2.400000 6570.297363 -2244.416504 2996.828857 -2503.775391  0.322393  0.033108  0.010768      -nan 
 0.113990 13.841227  2.425000 6874.170898 -2101.284180 3276.325684 -2431.048828  0.346636  0.032482  0.012103      -nan 
 0.121813 13.834282  2.450000 7118.322266 -1951.406860 3541.291260 -2351.854492  0.370235  0.032123  0.013374      -nan 
 0.129636 13.826918  2.475000 7339.079590 -1796.128418 3771.357178 -2266.568359  0.393118  0.031298  0.014542      -nan 
 0.137449 13.819367  2.500000 7522.035645 -1635.909668 3983.933105 -2175.994385  0.415273  0.030657  0.015562      -nan 
 0.145249 13.811852  2.525000 7670.485840 -1471.539917 4189.029297 -2080.557617  0.436559  0.029824  0.016413      -nan 
 0.153047 13.804589  2.550000 7786.719238 -1303.730713 4365.563477 -1980.434570  0.456802  0.028708  0.017068      -nan 
 0.160814 13.797785  2.575000 7864.419922 -1133.137329 4534.651855 -1876.280884  0.476008  0.027604  0.017497      -nan 
 0.168554 13.791590  2.600000 7922.540039 -960.556946 4702.560547 -1768.286133  0.493911  0.026175  0.017706      -nan 
 0.176229 13.786107  2.625000 7961.425781 -786.377808 4855.226074 -1656.470215  0.510448  0.024545  0.017703      -nan 
 0.183797 13.781401  2.650000 7982.867676 -611.025635 4997.829590 -1541.186646  0.525596  0.022899  0.017481      -nan 
 0.191207 13.777463  2.675000 7994.363770 -434.881805 5137.431152 -1422.675781  0.539278  0.021192  0.017061      -nan 
 0.198394 13.774237  2.700000 7999.050293 -258.159058 5278.379883 -1301.006104  0.551449  0.019414  0.016472      -nan 
 0.205273 13.771630  2.725000 8000.475098 -81.007172 5397.454590 -1176.152710  0.562165  0.017545  0.015738      -nan 
 0.211742 13.769538  2.750000 7998.542969 96.481766 5510.342773 -1048.591797  0.571568  0.015922  0.014872      -nan 
 0.217699 13.767883  2.775000 7992.970703 274.221130 5620.808594 -918.470398  0.579667  0.014346  0.013899      -nan 
 0.223032 13.766615  2.800000 7982.209961 452.123993 5720.518555 -785.856323  0.586491  0.012768  0.012844      -nan 
