delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
-0.001121 13.756456  0.012681  0.925000 -75.569260 -0.979669  0.672783 -0.024836 -0.000713 -0.000494 -0.000062  0.110305  0.012681 -0.000507 
-0.002019 13.757401  0.007821  0.950000 -142.940338 -2.615952  0.828705 -0.070762 -0.001678 -0.001321 -0.000139  0.446105  0.007821 -0.001281 
-0.003316 13.758517  0.015127  0.975000 -242.821075 -5.711310 -0.098679 -0.171403 -0.003384 -0.002878 -0.000266  1.354897  0.015127 -0.002640 
-0.005039 13.759779  0.038207  1.000000 -375.572449 -10.968489 -3.643005 -0.381602 -0.006100 -0.005505 -0.000456  3.397033  0.038207 -0.004787 
-0.007265 13.761155  0.020698  1.025000 -547.421265 -19.099583 -11.976135 -0.791267 -0.010105 -0.009523 -0.000719  7.419006  0.020698 -0.007860 
-0.009999 13.762611 -0.046732  1.050000 -754.215271 -30.949518 -27.843765 -1.545260 -0.015659 -0.015295 -0.001063 14.591326 -0.046732 -0.012014 
-0.013307 13.764112 -0.078809  1.075000 -1002.985840 -47.274567 -54.332573 -2.847864 -0.022994 -0.023102 -0.001493 26.434763 -0.078809 -0.017295 
-0.017168 13.765610 -0.005174  1.100000 -1292.111084 -68.981400 -94.601967 -4.978024 -0.032339 -0.033262 -0.002015 44.821030 -0.005174 -0.023806 
-0.021604 13.767053 -0.082161  1.125000 -1624.864990 -96.944611 -151.704941 -8.284081 -0.043891 -0.046038 -0.002633 71.978485 -0.082161 -0.031593 
-0.026570 13.768381 -0.044343  1.150000 -1980.791138 -132.106705 -228.650253 -13.187908 -0.057744 -0.061684 -0.003342 110.495743 -0.044343 -0.040718 
-0.032006 13.769531 -0.056015  1.175000 -2368.937012 -174.975586 -328.291687 -20.157928 -0.073889 -0.080197 -0.004133 163.311539 -0.056015 -0.050975 
-0.037802 13.770429 -0.013100  1.200000 -2773.597656 -226.248978 -452.711700 -29.733557 -0.092288 -0.101635 -0.004997 233.642044 -0.013100 -0.062317 
-0.043994 13.771013 -0.083110  1.225000 -3171.112793 -286.289673 -603.670776 -42.489426 -0.112674 -0.125856 -0.005909 324.933990 -0.083110 -0.074529 
-0.050349 13.771226 -0.107023  1.250000 -3572.065430 -354.974060 -782.290833 -58.987885 -0.134744 -0.152443 -0.006850 440.784790 -0.107023 -0.087185 
-0.056940 13.771010 -0.101516  1.275000 -3952.308594 -432.377197 -984.897339 -79.854759 -0.158142 -0.181074 -0.007800 584.805054 -0.101516 -0.100121 
-0.063545 13.770333 -0.114091  1.300000 -4313.657715 -518.083496 -1212.595703 -105.586693 -0.182397 -0.211216 -0.008732 760.549805 -0.114091 -0.112923 
-0.070126 13.769167 -0.130924  1.325000 -4654.761719 -611.702881 -1460.972900 -136.706406 -0.207108 -0.242340 -0.009635 971.393494 -0.130924 -0.125369 
-0.076525 13.767506 -0.159738  1.350000 -4957.228027 -712.800903 -1728.865479 -173.658508 -0.231781 -0.273959 -0.010496 1220.434082 -0.159738 -0.137305 
-0.082607 13.765367 -0.186135  1.375000 -5228.243652 -820.551697 -2002.884033 -216.837341 -0.255938 -0.305398 -0.011300 1510.421387 -0.186135 -0.148482 
-0.088253 13.762848 -0.157692  1.400000 -5467.737793 -934.274109 -2278.620117 -266.350342 -0.279247 -0.336242 -0.012032 1843.634521 -0.157692 -0.158731 
-0.093373 13.760125 -0.208202  1.425000 -5664.502930 -1053.274902 -2557.880371 -322.216614 -0.301374 -0.366121 -0.012689 2221.761230 -0.208202 -0.167940 
-0.097888 13.757414 -0.208309  1.450000 -5824.738770 -1176.628418 -2829.537598 -384.484619 -0.321940 -0.394532 -0.013264 2645.812012 -0.208309 -0.175990 
-0.101713 13.754944 -0.155784  1.475000 -5951.225586 -1303.550537 -3080.791992 -452.951813 -0.340838 -0.421178 -0.013746 3116.059082 -0.155784 -0.182827 
-0.104772 13.752932 -0.204862  1.500000 -6044.742188 -1433.324707 -3324.661621 -527.118103 -0.357947 -0.445956 -0.014133 3631.979736 -0.204862 -0.188295 
-0.107007 13.751581 -0.201959  1.525000 -6100.062500 -1565.244629 -3557.509766 -606.787964 -0.373049 -0.468609 -0.014430 4192.230469 -0.201959 -0.192469 
-0.108363 13.751091 -0.178634  1.550000 -6113.572266 -1698.480469 -3754.165039 -691.688965 -0.386063 -0.488874 -0.014626 4794.725586 -0.178634 -0.195379 
-0.108800 13.751629 -0.209740  1.575000 -6083.236328 -1832.153198 -3936.658203 -780.954346 -0.396930 -0.506764 -0.014705 5436.706543 -0.209740 -0.196690 
-0.108304 13.753317 -0.175977  1.600000 -6009.136230 -1965.305542 -4105.464844 -874.228271 -0.405406 -0.521998 -0.014666 6114.751465 -0.175977 -0.196348 
-0.106883 13.756225 -0.208305  1.625000 -5892.591309 -2096.978271 -4256.398438 -971.171570 -0.411282 -0.534285 -0.014514 6824.873047 -0.208305 -0.194390 
-0.104541 13.760366 -0.170741  1.650000 -5735.807129 -2226.232422 -4373.066406 -1071.355103 -0.414464 -0.543403 -0.014248 7562.694336 -0.170741 -0.190882 
-0.101306 13.765719 -0.175058  1.675000 -5531.898926 -2352.174561 -4465.142090 -1173.983765 -0.414925 -0.549361 -0.013860 8323.582031 -0.175058 -0.185724 
-0.097235 13.772202 -0.189220  1.700000 -5279.377930 -2473.742188 -4536.610840 -1278.483154 -0.412474 -0.551970 -0.013352 9102.731445 -0.189220 -0.178859 
-0.092411 13.779676 -0.197056  1.725000 -4985.494629 -2589.849854 -4585.668945 -1384.359985 -0.406904 -0.550972 -0.012728 9895.250000 -0.197056 -0.170327 
-0.086907 13.787928 -0.191683  1.750000 -4662.322754 -2699.563477 -4610.157715 -1491.082886 -0.398143 -0.546206 -0.012009 10696.237305 -0.191683 -0.160311 
-0.080879 13.796728 -0.161489  1.775000 -4294.818359 -2802.202881 -4607.847168 -1598.093506 -0.386170 -0.537670 -0.011215 11500.857422 -0.161489 -0.149157 
-0.074367 13.805830 -0.154027  1.800000 -3908.247559 -2896.804443 -4577.176270 -1704.740112 -0.370984 -0.525225 -0.010362 12304.390625 -0.154027 -0.136994 
-0.067528 13.814956 -0.141265  1.825000 -3496.729492 -2982.928467 -4516.574219 -1810.372314 -0.352768 -0.509021 -0.009485 13102.234375 -0.141265 -0.124270 
-0.060418 13.823879 -0.094279  1.850000 -3068.715332 -3060.046631 -4425.417480 -1914.277588 -0.331624 -0.489170 -0.008600 13889.881836 -0.094279 -0.111286 
-0.053113 13.832367 -0.114501  1.875000 -2633.077148 -3127.795898 -4299.780762 -2015.750366 -0.307858 -0.465874 -0.007739 14662.908203 -0.114501 -0.098414 
-0.045741 13.840219 -0.066979  1.900000 -2183.116699 -3186.005371 -4124.933105 -2114.023682 -0.281820 -0.439486 -0.006906 15416.946289 -0.066979 -0.086003 
-0.038275 13.847267 -0.097964  1.925000 -1738.092041 -3234.385498 -3921.770996 -2207.956543 -0.253934 -0.410475 -0.006114 16147.643555 -0.097964 -0.073984 
-0.030849 13.853397 -0.050159  1.950000 -1281.004150 -3273.021484 -3692.368164 -2296.945068 -0.224450 -0.379248 -0.005377 16850.550781 -0.050159 -0.062699 
